date,adgroup,criteria,clicks,impressions,cost,campaign
2023-06-05,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,29,904,43306,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,25,1046,42546,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Mortgage,Image_0103,452,20553,1085168,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Mortgage,Image_0104,645,44216,1823110,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Mortgage,Image_0204,6,171,4657,EVO_Conv_TPB DOP_Esign
2023-06-05,EVO_Conv_TPB DOP_Mortgage,Video_0103,32,863,59172,EVO_Conv_TPB DOP_Esign
2023-06-06,Conv_Esign_Mas,Image_0103,868,48510,2284484,Conv_Esign
2023-06-06,Conv_Esign_Mas,Image_0104,1190,90176,3516804,Conv_Esign
2023-06-06,Conv_Esign_Mas,Image_0204,8,3271,40693,Conv_Esign
2023-06-06,Conv_Esign_Mas,Video_0103,58,1736,107712,Conv_Esign
2023-06-06,Conv_Esign_Retargeting,Image_0103,7,205,17393,Conv_Esign
2023-06-06,Conv_Esign_Retargeting,Image_0104,43,1250,83711,Conv_Esign
2023-06-06,Conv_Esign_Retargeting,Video_0103,2,32,4059,Conv_Esign
2023-06-06,EVO_Conv_TPB DOP_Bank,Image_0103,31,2183,100046,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Bank,Image_0104,36,4886,111994,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Bank,Image_0204,1,297,4332,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Bank,Video_0103,8,279,9336,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0103,1,152,3578,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0104,4,278,3586,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0204,0,174,825,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_CreditCard_Esign,Video_0103,1,37,302,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Ecommerce,Image_0103,47,2596,94169,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Ecommerce,Image_0104,27,1794,70466,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Ecommerce,Image_0204,1,172,2449,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Ecommerce,Video_0103,3,233,8270,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Insurance,Image_0103,4,579,16901,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Insurance,Image_0104,0,107,3353,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Insurance,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Insurance,Video_0103,2,255,9330,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Investment,Image_0103,3,515,11551,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Investment,Image_0104,3,478,19900,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Investment,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Investment,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,33,1042,44888,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,30,1015,39552,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Mortgage,Image_0103,349,19930,875948,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Mortgage,Image_0104,491,36932,1307750,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Mortgage,Image_0204,11,1598,16994,EVO_Conv_TPB DOP_Esign
2023-06-06,EVO_Conv_TPB DOP_Mortgage,Video_0103,27,980,56481,EVO_Conv_TPB DOP_Esign
2023-06-07,Conv_Esign_Mas,Image_0103,874,58918,2624104,Conv_Esign
2023-06-07,Conv_Esign_Mas,Image_0104,1196,104452,3805152,Conv_Esign
2023-06-07,Conv_Esign_Mas,Image_0204,33,5355,56248,Conv_Esign
2023-06-07,Conv_Esign_Mas,Video_0103,53,2252,124302,Conv_Esign
2023-06-07,Conv_Esign_Retargeting,Image_0103,7,273,28109,Conv_Esign
2023-06-07,Conv_Esign_Retargeting,Image_0104,47,1453,94219,Conv_Esign
2023-06-07,Conv_Esign_Retargeting,Video_0103,0,8,1133,Conv_Esign
2023-06-07,EVO_Conv_TPB DOP_Bank,Image_0103,468,28901,1228799,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Bank,Image_0104,637,88087,1818282,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Bank,Image_0204,21,7612,59077,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Bank,Video_0103,41,1978,104086,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0103,2,188,5603,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0104,2,346,4790,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_CreditCard_Esign,Image_0204,0,231,1687,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_CreditCard_Esign,Video_0103,0,37,577,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Ecommerce,Image_0103,220,16712,537698,EVO_Conv_TPB DOP_Esign
